,Y9999 加權指數
年月日,開盤價(元)
1984/1/5,761.92
1984/1/6,764.5
1984/1/7,771.1
1984/1/9,779.1
1984/1/10,780.18
1984/1/11,774.67
1984/1/12,783.47
1984/1/13,787.83
1984/1/14,791.76
1984/1/16,786.31
1984/1/17,790.75
1984/1/18,793.02
1984/1/19,799.75
1984/1/20,804.13
1984/1/21,798.27
1984/1/23,792.32
1984/1/24,791.49
1984/1/25,796.12
1984/1/26,804.46
1984/1/27,807.57
1984/1/28,808.51
1984/1/30,818.14
1984/2/6,829.43
1984/2/7,838.05
1984/2/8,838.31
1984/2/9,839.56
1984/2/10,848.16
1984/2/11,852.07
1984/2/13,843.12
1984/2/14,858.78
1984/2/15,858.78
1984/2/16,852.31
1984/2/17,852.42
1984/2/18,861.64
1984/2/20,872.65
1984/2/21,883.83
1984/2/22,886.44
1984/2/23,881.23
1984/2/24,881.81
1984/2/25,892.34
1984/2/27,901
1984/2/28,882.54
1984/2/29,860.31
1984/3/1,868.4
1984/3/2,875.19
1984/3/3,865.41
1984/3/5,857.69
1984/3/6,848.19
1984/3/7,869.16
1984/3/8,864.1
1984/3/9,878.98
1984/3/10,883.38
1984/3/12,875.96
1984/3/13,884.5
1984/3/14,889.08
1984/3/15,888.29
1984/3/16,893.09
1984/3/17,904.7
1984/3/19,908.84
1984/3/20,910.41
1984/3/21,905.13
1984/3/22,901.31
1984/3/23,891.77
1984/3/24,887.03
1984/3/26,877.2
1984/3/27,874.19
1984/3/28,885.85
1984/3/30,881.02
1984/3/31,869.28
1984/4/2,871.41
1984/4/3,874.44
1984/4/5,869.3
1984/4/6,859.24
1984/4/7,872.86
1984/4/9,868.37
1984/4/10,871
1984/4/11,886.07
1984/4/12,899.52
1984/4/13,903.38
1984/4/14,889.9
1984/4/16,896.65
1984/4/17,896.97
1984/4/18,896.98
1984/4/19,904.32
1984/4/20,912.23
1984/4/21,910.63
1984/4/23,908.51
1984/4/24,915.39
1984/4/25,924.73
1984/4/26,913.15
1984/4/27,924.35
1984/4/28,928.49
1984/4/30,930.34
1984/5/1,938.3
1984/5/2,937.72
1984/5/3,938.3
1984/5/4,943.2
1984/5/5,946.57
1984/5/7,944.75
1984/5/8,927.6
1984/5/9,936.06
1984/5/10,931.97
1984/5/11,931.9
1984/5/12,936.63
1984/5/14,941.62
1984/5/15,963.49
1984/5/16,969.25
1984/5/17,961.72
1984/5/18,966
1984/5/19,965.91
1984/5/21,960.33
1984/5/22,960.41
1984/5/23,942.12
1984/5/24,941.15
1984/5/25,930.92
1984/5/26,923.77
1984/5/28,891.34
1984/5/29,853.67
1984/5/30,884.2
1984/5/31,863.72
1984/6/1,869.77
1984/6/2,871.09
1984/6/5,890.7
1984/6/6,891.62
1984/6/7,878.58
1984/6/8,883.65
1984/6/9,887.45
1984/6/11,897.69
1984/6/12,907.38
1984/6/13,909.64
1984/6/14,903.24
1984/6/15,919.83
1984/6/16,918.07
1984/6/18,917.06
1984/6/19,910.65
1984/6/20,912.25
1984/6/21,916.72
1984/6/22,919.91
1984/6/23,917.08
1984/6/25,905.41
1984/6/26,892.04
1984/6/27,902.55
