,EA1101 台灣-景氣對策信號綜合分數-月(分數)
年月,數值
1984/1/30,42
1984/2/29,39
1984/3/31,37
1984/4/30,34
1984/5/31,37
1984/6/30,30
1984/7/31,30
1984/8/31,27
1984/9/29,25
1984/10/30,28
1984/11/30,21
1984/12/29,21
1985/1/31,16
1985/2/28,19
1985/3/30,14
1985/4/30,14
1985/5/31,14
1985/6/29,12
1985/7/31,12
1985/8/31,13
1985/9/27,14
1985/10/30,15
1985/11/30,15
1985/12/28,22
1986/1/31,21
1986/2/28,19
1986/3/31,33
1986/4/30,28
1986/5/31,29
1986/6/30,37
1986/7/31,34
1986/8/30,39
1986/9/30,36
1986/10/30,36
1986/11/29,38
1986/12/29,37
1987/1/24,36
1987/2/28,40
1987/3/31,32
1987/4/30,41
1987/5/30,39
1987/6/30,38
1987/7/31,34
1987/8/31,36
1987/9/30,37
1987/10/30,31
1987/11/30,35
1987/12/29,32
1988/1/29,29
1988/2/29,33
1988/3/31,28
1988/4/30,27
1988/5/31,31
1988/6/30,30
1988/7/30,30
1988/8/31,31
1988/9/30,28
1988/10/29,29
1988/11/30,33
1988/12/29,32
1989/1/31,36
1989/2/28,34
1989/3/31,40
1989/4/29,39
1989/5/31,34
1989/6/30,30
1989/7/31,32
1989/8/31,27
1989/9/30,24
1989/10/30,25
1989/11/30,24
1989/12/28,25
1990/1/31,23
1990/2/28,27
1990/3/31,21
1990/4/30,20
1990/5/31,17
1990/6/30,14
1990/7/31,17
1990/8/31,17
1990/9/27,18
1990/10/30,21
1990/11/30,20
1990/12/27,15
1991/1/31,20
1991/2/28,19
1991/3/28,19
1991/4/30,20
1991/5/31,23
1991/6/29,24
1991/7/31,29
1991/8/31,27
1991/9/30,27
1991/10/31,30
1991/11/30,30
1991/12/28,28
1992/1/30,29
1992/2/29,29
1992/3/31,28
1992/4/30,28
1992/5/30,24
1992/6/30,25
1992/7/31,25
1992/8/31,25
1992/9/30,22
1992/10/30,25
1992/11/30,21
1992/12/29,24
1993/1/30,19
1993/2/27,23
1993/3/31,24
1993/4/30,20
1993/5/31,20
1993/6/30,17
1993/7/31,21
1993/8/31,22
1993/9/29,23
1993/10/30,24
1993/11/30,21
1993/12/31,27
1994/1/31,32
1994/2/28,29
1994/3/31,26
1994/4/30,30
1994/5/31,30
1994/6/30,32
1994/7/30,30
1994/8/31,33
1994/9/30,34
1994/10/29,36
1994/11/30,39
1994/12/31,31
1995/1/26,30
1995/2/28,34
1995/3/31,30
1995/4/29,29
1995/5/31,28
1995/6/30,25
1995/7/31,23
1995/8/31,21
1995/9/30,22
1995/10/30,15
1995/11/30,13
1995/12/30,16
1996/1/31,18
1996/2/29,18
1996/3/28,13
1996/4/30,21
1996/5/31,15
1996/6/29,17
1996/7/30,19
1996/8/31,20
1996/9/30,24
1996/10/30,22
1996/11/30,26
1996/12/31,28
1997/1/31,26
1997/2/28,24
1997/3/31,31
1997/4/30,24
1997/5/31,24
1997/6/30,28
1997/7/31,30
1997/8/30,26
1997/9/30,31
1997/10/30,26
1997/11/28,28
1997/12/31,29
1998/1/22,23
1998/2/27,27
1998/3/31,25
1998/4/30,20
1998/5/29,19
1998/6/30,20
1998/7/31,16
1998/8/31,22
1998/9/30,18
1998/10/31,16
1998/11/30,19
1998/12/31,14
1999/1/30,18
1999/2/26,17
1999/3/31,16
1999/4/30,20
1999/5/31,22
1999/6/30,25
1999/7/31,24
1999/8/31,23
1999/9/30,19
1999/10/30,26
1999/11/30,26
1999/12/28,28
2000/1/31,32
2000/2/29,30
2000/3/31,29
2000/4/29,28
2000/5/31,29
2000/6/30,27
2000/7/31,26
2000/8/31,28
2000/9/30,28
2000/10/31,23
2000/11/30,17
2000/12/30,16
2001/1/31,10
2001/2/27,10
2001/3/30,10
2001/4/30,9
2001/5/31,9
2001/6/29,9
2001/7/31,9
2001/8/31,11
2001/9/28,9
2001/10/31,9
2001/11/30,10
2001/12/31,15
2002/1/31,15
2002/2/27,15
2002/3/29,20
2002/4/30,26
2002/5/31,25
2002/6/28,25
2002/7/31,29
2002/8/30,24
2002/9/30,29
2002/10/31,23
2002/11/29,26
2002/12/31,24
2003/1/28,20
2003/2/27,22
2003/3/31,17
2003/4/30,14
2003/5/30,14
2003/6/30,20
2003/7/31,24
2003/8/29,26
2003/9/30,29
2003/10/31,31
2003/11/28,30
2003/12/31,34
2004/1/30,35
2004/2/27,34
2004/3/31,36
2004/4/30,37
2004/5/31,39
2004/6/30,36
2004/7/30,35
2004/8/31,33
2004/9/30,32
2004/10/29,29
2004/11/30,28
2004/12/31,26
2005/1/31,23
2005/2/25,23
2005/3/31,22
2005/4/29,20
2005/5/31,18
2005/6/30,20
2005/7/29,19
2005/8/31,23
2005/9/30,23
2005/10/31,24
2005/11/30,24
2005/12/30,27
2006/1/25,28
2006/2/27,28
2006/3/31,23
2006/4/28,23
2006/5/30,24
2006/6/30,21
2006/7/31,21
2006/8/31,22
2006/9/29,22
2006/10/31,20
2006/11/30,21
2006/12/29,16
2007/1/31,18
2007/2/27,19
2007/3/30,23
2007/4/30,18
2007/5/31,20
2007/6/29,25
2007/7/31,30
2007/8/31,30
